year,state,forest_area_ha,tree_cover_ha,annual_tree_cover_loss_ha,protected_area_pct,population_density_per_km2,avg_annual_precip_mm,land_use_change_index,cum_loss_since_2011_ha
2020,Andhra Pradesh,1038926,41662,9457,13.99,250,1742,0.426,57103
2021,Andhra Pradesh,1024908,41269,7466,16.37,301,1230,0.55,64569
2022,Andhra Pradesh,1075668,48532,2350,12.4,268,1438,0.131,66919
2023,Andhra Pradesh,1122857,69298,0,21.14,171,1238,0.413,66919
2024,Andhra Pradesh,1204531,78761,0,12.36,320,1419,0.413,66919
2025,Andhra Pradesh,1132981,72134,0,6.47,239,1483,0.195,66919
2011,Arunachal Pradesh,9884185,289040,0,22.86,300,2551,0.273,0
2012,Arunachal Pradesh,9862020,428353,13882,18.28,263,2514,0.158,13882
2013,Arunachal Pradesh,9882835,559651,101252,17.81,234,2536,0.631,115134
2014,Arunachal Pradesh,9818086,414200,18111,13.63,306,2648,0.254,133245
2015,Arunachal Pradesh,9231096,348651,210226,19.11,190,2168,0.269,343471
2016,Arunachal Pradesh,9592021,496912,73201,16.98,282,2690,0.35,416672
2017,Arunachal Pradesh,9840150,569405,0,16.98,215,2749,0.352,416672
2018,Arunachal Pradesh,9273070,281090,83440,17.08,190,2410,0.26,500112
2019,Arunachal Pradesh,10730625,340389,260001,17.58,288,2558,0.558,760113
2020,Arunachal Pradesh,8737460,414536,121703,17.04,193,2321,0.278,881816
2021,Arunachal Pradesh,8070559,186603,183098,11.1,222,2165,0.282,1064914
2022,Arunachal Pradesh,9733226,236226,6043,10.05,292,1688,0.229,1070957
2023,Arunachal Pradesh,8712841,232378,111549,5.03,365,2588,0.131,1182506
2024,Arunachal Pradesh,9414355,459322,261794,11.0,265,2417,0.248,1444300
2025,Arunachal Pradesh,8722120,261295,78494,17.6,274,2591,0.395,1522794
2011,Assam,7610239,259103,80833,21.05,300,2766,0.324,80833
2012,Assam,7581363,238298,28359,18.33,230,2408,0.158,109192
2013,Assam,7529087,409733,37593,24.62,296,2659,0.082,146785
2014,Assam,7542223,162303,23173,21.02,217,2700,0.063,169958
2015,Assam,7217440,404923,132561,5.29,200,1971,0.045,302519
2016,Assam,6810817,301719,180216,12.53,279,2191,0.562,482735
2017,Assam,7382008,152107,24214,23.57,209,2681,0.451,506949
2018,Assam,6961825,357986,109564,21.99,278,2608,0.223,616513
2019,Assam,7507990,254319,5285,18.43,315,2941,0.193,621798
2020,Assam,7253859,337983,46917,17.14,335,2601,0.167,668715
2021,Assam,7540205,206109,0,18.52,215,2868,0.581,668715
2022,Assam,6731377,393363,57753,21.65,261,2343,0.03,726468
2023,Assam,8183236,209653,0,13.73,240,2672,0.201,726468
2024,Assam,5453229,245113,113806,26.32,351,2505,0.108,840274
2025,Assam,6878303,401297,43246,16.77,276,2512,0.263,883520
2011,Bihar,1778287,41216,23434,18.38,334,1742,0.38,23434
2012,Bihar,1778036,85429,0,18.65,325,1747,0.301,23434
2013,Bihar,1735708,81743,28750,11.75,321,1632,0.543,52184
2014,Bihar,1813365,107204,0,11.62,281,1585,0.8,52184
2015,Bihar,1736609,90505,7270,25.67,386,1954,0.604,59454
2016,Bihar,1719800,92264,9948,21.76,280,1773,0.496,69402
2017,Bihar,1725681,76006,9165,12.55,255,573,0.389,78567
2018,Bihar,1698900,49560,13879,8.88,290,1694,0.418,92446
2019,Bihar,1872316,125022,0,10.55,238,1319,0.416,92446
2020,Bihar,1613878,43026,20500,18.57,380,1481,0.537,112946
2021,Bihar,1895561,119554,0,9.8,353,696,0.516,112946
2022,Bihar,1541909,56466,19293,8.97,280,1839,0.673,132239
2023,Bihar,1889044,107290,0,8.38,245,1632,0.482,132239
2024,Bihar,1797329,50073,0,17.67,303,939,0.654,132239
2025,Bihar,2187797,57554,0,13.31,272,1396,0.462,132239
2011,Chandigarh,1804683,48996,18066,11.29,271,1281,0.268,18066
2012,Chandigarh,1812385,38033,0,7.25,318,778,0.23,18066
2013,Chandigarh,1830476,119045,0,12.7,333,1271,0.501,18066
2014,Chandigarh,1762174,61370,13166,19.39,240,1414,0.367,31232
2015,Chandigarh,1880041,94182,0,11.13,373,1725,0.427,31232
2016,Chandigarh,1774200,59043,3468,13.85,298,1819,0.195,34700
2017,Chandigarh,1746605,41088,7353,13.57,301,922,0.442,42053
2018,Chandigarh,1696832,49448,19254,9.32,238,1288,0.51,61307
2019,Chandigarh,1732015,93224,9111,17.37,330,1912,0.079,70418
2020,Chandigarh,1904143,94916,0,13.82,309,1277,0.087,70418
2021,Chandigarh,1615806,76804,14905,20.49,326,455,0.436,85323
2022,Chandigarh,1671539,51278,11216,9.97,231,1317,0.315,96539
2023,Chandigarh,1549279,66923,17976,12.72,311,1146,0.52,114515
2024,Chandigarh,1876931,42485,0,16.45,448,1523,0.156,114515
2025,Chandigarh,1773751,113054,626,13.73,351,984,0.44,115141
2011,Chhattisgarh,463446,27134,0,19.92,278,1175,0.055,0
2012,Chhattisgarh,466671,18485,0,3.44,308,331,0.12,0
2013,Chhattisgarh,465239,13505,0,13.27,320,1114,0.444,0
2014,Chhattisgarh,458074,27892,1182,19.11,234,542,0.079,1182
2015,Chhattisgarh,460565,10985,216,18.79,333,1582,0.171,1398
2016,Chhattisgarh,427448,20991,7058,8.76,349,1650,0.139,8456
2017,Chhattisgarh,461506,17470,0,15.17,199,1557,0.078,8456
2018,Chhattisgarh,483316,33060,0,11.26,265,1082,0.036,8456
2019,Chhattisgarh,522420,30069,0,10.37,250,1898,0.433,8456
2020,Chhattisgarh,482344,14148,0,19.43,402,794,0.181,8456
2021,Chhattisgarh,495564,26704,0,16.59,288,1922,0.146,8456
2022,Chhattisgarh,549869,31831,0,16.6,296,1570,0.48,8456
2023,Chhattisgarh,516375,27114,0,9.52,294,1632,0.254,8456
2024,Chhattisgarh,327834,18907,7513,12.87,254,1239,0.461,15969
2025,Chhattisgarh,418802,29250,2975,5.27,383,1153,0.19,18944
2011,Dadra & Nagar Haveli and Daman & Diu,2868365,122556,0,18.21,283,1590,0.058,0
2012,Dadra & Nagar Haveli and Daman & Diu,2834527,95283,24958,13.92,299,808,0.546,24958
2013,Dadra & Nagar Haveli and Daman & Diu,2843827,62090,12993,11.67,350,1164,0.213,37951
2014,Dadra & Nagar Haveli and Daman & Diu,2916834,154032,0,17.09,309,939,0.151,37951
2015,Dadra & Nagar Haveli and Daman & Diu,2860645,182254,0,2.61,253,594,0.112,37951
2016,Dadra & Nagar Haveli and Daman & Diu,2817059,181720,10021,4.24,247,2035,0.062,47972
2017,Dadra & Nagar Haveli and Daman & Diu,3089249,74690,0,12.01,310,888,0.098,47972
2018,Dadra & Nagar Haveli and Daman & Diu,3029982,86461,0,11.59,296,347,0.358,47972
2019,Dadra & Nagar Haveli and Daman & Diu,2875879,157861,0,4.13,348,1664,0.225,47972
2020,Dadra & Nagar Haveli and Daman & Diu,2674725,108417,17443,18.83,317,1275,0.501,65415
2021,Dadra & Nagar Haveli and Daman & Diu,2504807,141224,48040,7.05,308,1646,0.226,113455
2022,Dadra & Nagar Haveli and Daman & Diu,2412092,118109,53350,15.04,403,413,0.509,166805
2023,Dadra & Nagar Haveli and Daman & Diu,2450287,51413,44388,11.0,225,701,0.2,211193
2024,Dadra & Nagar Haveli and Daman & Diu,2974453,191827,0,24.34,255,1849,0.418,211193
2025,Dadra & Nagar Haveli and Daman & Diu,2815783,78353,967,6.76,180,920,0.202,212160
2011,Delhi,137978,7950,0,6.08,298,420,0.345,0
2012,Delhi,138090,9294,0,10.79,243,950,0.285,0
2013,Delhi,139977,7888,0,11.51,238,307,0.212,0
2014,Delhi,137463,3781,46,8.3,288,618,0.347,46
2015,Delhi,137459,3186,0,17.88,312,728,0.168,46
2016,Delhi,136839,9328,108,10.75,352,455,0.171,154
2017,Delhi,142481,3005,0,12.0,265,501,0.565,154
2018,Delhi,151782,6751,0,20.2,194,772,0.12,154
2019,Delhi,133111,8881,625,14.25,372,659,0.45,779
2020,Delhi,142533,4093,0,12.68,342,1024,0.702,779
2021,Delhi,142001,9215,0,10.34,218,547,0.164,779
2022,Delhi,128055,3911,3888,4.65,289,841,0.087,4667
2023,Delhi,117625,8208,1701,18.64,340,625,0.143,6368
2024,Delhi,133243,6510,2607,27.14,330,466,0.24,8975
2025,Delhi,149626,6208,0,13.37,298,568,0.419,8975
2011,Goa,463374,26772,2175,4.75,257,999,0.368,2175
2012,Goa,462624,15225,333,16.21,194,1164,0.072,2508
2013,Goa,451651,11755,4568,14.73,361,842,0.275,7076
2014,Goa,447115,10578,6220,9.22,263,2100,0.451,13296
2015,Goa,450118,10996,2740,2.9,307,1430,0.667,16036
2016,Goa,454264,12593,1104,16.13,227,1685,0.31,17140
2017,Goa,459528,14264,4055,7.46,277,1474,0.23,21195
2018,Goa,442721,17035,2849,11.31,362,1587,0.115,24044
2019,Goa,492201,16528,0,6.7,256,446,0.174,24044
2020,Goa,455369,22439,522,7.32,357,2111,0.524,24566
2021,Goa,409637,22947,5574,13.29,362,1139,0.267,30140
2022,Goa,439379,20095,12141,19.08,216,1294,0.276,42281
2023,Goa,452411,19657,690,13.54,200,1059,0.017,42971
2024,Goa,443357,28258,955,10.19,310,875,0.514,43926
2025,Goa,460344,27884,0,15.76,357,1393,0.382,43926
2011,Gujarat,172534,10416,0,16.93,286,526,0.49,0
2012,Gujarat,172780,5026,0,7.39,402,536,0.237,0
2013,Gujarat,174869,11243,0,4.66,335,609,0.532,0
2014,Gujarat,166091,8139,2367,3.86,333,715,0.197,2367
2015,Gujarat,177887,6971,0,10.56,274,376,0.508,2367
2016,Gujarat,160366,4954,3451,18.45,258,684,0.196,5818
2017,Gujarat,184701,6302,0,12.61,369,518,0.727,5818
2018,Gujarat,173312,4042,0,19.65,334,757,0.174,5818
2019,Gujarat,179176,7470,0,3.96,344,621,0.559,5818
2020,Gujarat,195961,6391,0,11.99,378,714,0.644,5818
2021,Gujarat,187274,7144,0,17.37,288,414,0.257,5818
2022,Gujarat,172808,10077,0,15.83,313,409,0.245,5818
2023,Gujarat,191225,6388,0,10.48,304,800,0.533,5818
2024,Gujarat,183467,11683,0,7.25,249,649,0.119,5818
2025,Gujarat,172789,4467,0,9.68,426,592,0.148,5818
2011,Haryana,2572936,80032,50115,15.0,282,680,0.52,50115
2012,Haryana,2552308,62365,16072,10.48,262,360,0.546,66187
2013,Haryana,2603133,180147,0,14.84,369,495,0.224,66187
2014,Haryana,2549771,63925,6095,16.04,241,379,0.186,72282
2015,Haryana,2519575,160336,15698,5.3,280,878,0.117,87980
2016,Haryana,2509390,54071,11120,12.72,200,529,0.23,99100
2017,Haryana,2483136,155820,11763,8.14,160,639,0.291,110863
2018,Haryana,2753056,78445,0,16.76,308,643,0.224,110863
2019,Haryana,2585457,136645,0,19.63,313,701,0.392,110863
2020,Haryana,2631757,99825,29779,22.25,239,846,0.072,140642
2021,Haryana,2744068,108819,43589,9.62,287,644,0.155,184231
2022,Haryana,2793509,81576,0,16.09,224,581,0.261,184231
2023,Haryana,2035631,108984,54406,19.14,276,531,0.362,238637
2024,Haryana,2527019,153469,1481,8.4,292,727,0.466,240118
2025,Haryana,2033123,102041,33144,11.65,243,469,0.387,273262
2011,Himachal Pradesh,1785584,61142,23476,12.75,260,1201,0.364,23476
2012,Himachal Pradesh,1772921,112897,16613,13.95,335,951,0.128,40089
2013,Himachal Pradesh,1751730,38721,12171,9.04,196,717,0.091,52260
2014,Himachal Pradesh,1735651,70601,13111,17.59,244,1420,0.51,65371
2015,Himachal Pradesh,1617266,91335,53611,12.08,243,1320,0.267,118982
2016,Himachal Pradesh,1665677,61662,26326,5.45,380,2092,0.311,145308
2017,Himachal Pradesh,1828150,50419,0,18.85,264,533,0.456,145308
2018,Himachal Pradesh,1959950,54533,0,18.43,250,939,0.163,145308
2019,Himachal Pradesh,1781118,101422,0,9.49,245,1230,0.451,145308
2020,Himachal Pradesh,1849617,60193,0,12.2,288,1335,0.282,145308
2021,Himachal Pradesh,1761054,79930,606,18.12,284,1157,0.261,145914
2022,Himachal Pradesh,1709570,99929,5741,19.44,282,1543,0.292,151655
2023,Himachal Pradesh,1962808,92887,0,6.51,310,1003,0.128,151655
2024,Himachal Pradesh,1984406,122233,0,12.71,431,1077,0.452,151655
2025,Himachal Pradesh,1745508,105396,1519,15.06,335,1357,0.278,153174
2011,Jammu & Kashmir,2103296,67521,0,13.0,331,836,0.652,0
2012,Jammu & Kashmir,2140050,82275,0,11.49,321,1324,0.562,0
2013,Jammu & Kashmir,2091431,133759,5940,8.91,236,1352,0.245,5940
2014,Jammu & Kashmir,2164889,102856,0,12.66,298,1417,0.267,5940
2015,Jammu & Kashmir,2084000,68949,2705,12.02,250,830,0.127,8645
2016,Jammu & Kashmir,2022563,46281,14775,9.94,295,1397,0.652,23420
2017,Jammu & Kashmir,1984062,62539,13806,19.13,333,1099,0.317,37226
2018,Jammu & Kashmir,2083095,61234,673,17.55,349,1031,0.368,37899
2019,Jammu & Kashmir,1837432,41374,24392,8.74,216,1106,0.064,62291
2020,Jammu & Kashmir,1785983,71502,27117,9.61,202,657,0.081,89408
2021,Jammu & Kashmir,1971001,120256,14236,15.95,209,1085,0.162,103644
2022,Jammu & Kashmir,2098406,120807,0,15.83,283,835,0.081,103644
2023,Jammu & Kashmir,2125237,47712,0,7.25,225,579,0.292,103644
2024,Jammu & Kashmir,2006220,135347,5498,11.04,197,1045,0.268,109142
2025,Jammu & Kashmir,1957782,135161,7431,16.2,261,1030,0.332,116573
2011,Jharkhand,61145,1347,655,9.2,300,1053,0.516,655
2012,Jharkhand,60268,2016,1575,13.05,267,767,0.419,2230
2013,Jharkhand,60340,1872,320,9.38,274,1132,0.324,2550
2014,Jharkhand,58843,3647,1048,20.78,337,919,0.452,3598
2015,Jharkhand,59761,1382,429,11.96,178,1553,0.408,4027
2016,Jharkhand,60190,2412,205,23.7,354,1983,0.083,4232
2017,Jharkhand,57796,1680,529,9.04,370,1895,0.252,4761
2018,Jharkhand,60838,3152,0,11.77,329,820,0.505,4761
2019,Jharkhand,62095,2723,0,14.2,270,1615,0.31,4761
2020,Jharkhand,62085,1711,0,12.69,209,1796,0.17,4761
2021,Jharkhand,60218,3976,33,12.14,281,660,0.133,4794
2022,Jharkhand,57089,1323,330,18.79,344,1174,0.214,5124
2023,Jharkhand,68632,3917,0,7.68,282,1353,0.145,5124
2024,Jharkhand,55439,3785,397,1.81,286,561,0.124,5521
2025,Jharkhand,60702,1241,0,15.76,316,2110,0.147,5521
2011,Karnataka,2881072,77431,0,12.62,329,707,0.196,0
2012,Karnataka,2878533,142032,0,9.12,269,932,0.639,0
2013,Karnataka,2888257,90177,0,11.54,366,1918,0.204,0
2014,Karnataka,2884646,122852,0,9.51,321,1365,0.247,0
2015,Karnataka,2869960,191831,0,16.0,333,832,0.092,0
2016,Karnataka,3175202,99661,0,5.91,302,1907,0.19,0
2017,Karnataka,2908139,171672,0,5.48,328,1588,0.219,0
2018,Karnataka,2940304,170662,0,16.55,241,1773,0.201,0
2019,Karnataka,3072887,188002,0,11.11,309,1125,0.172,0
2020,Karnataka,2674807,61328,23993,16.81,299,1610,0.499,23993
2021,Karnataka,2911955,120924,0,14.26,227,604,0.395,23993
2022,Karnataka,2787467,187831,5422,10.48,360,766,0.597,29415
2023,Karnataka,2936554,74243,0,19.9,316,1538,0.281,29415
2024,Karnataka,3274770,120959,0,11.33,271,1365,0.157,29415
2025,Karnataka,2314128,110978,40447,3.77,255,2220,0.287,69862
2011,Kerala,2472732,91371,0,17.13,321,2865,0.227,0
2012,Kerala,2469571,78683,606,13.86,258,2353,0.25,606
2013,Kerala,2476613,130671,0,14.89,203,2122,0.516,606
2014,Kerala,2519031,79594,0,24.28,306,2499,0.415,606
2015,Kerala,2464220,92347,0,14.96,254,2256,0.203,606
2016,Kerala,2442008,168619,4338,7.36,202,2878,0.181,4944
2017,Kerala,2840065,189279,0,11.62,380,2569,0.386,4944
2018,Kerala,2401602,114957,6310,15.68,324,2409,0.166,11254
2019,Kerala,2269332,119867,34635,11.66,273,2551,0.143,45889
2020,Kerala,2595132,103326,0,13.92,279,2155,0.147,45889
2021,Kerala,2415110,145196,3503,10.95,296,3112,0.308,49392
2022,Kerala,2056664,77618,35979,18.01,301,2592,0.062,85371
2023,Kerala,2535482,131901,0,13.62,267,2656,0.151,85371
2024,Kerala,2417513,58254,1689,6.58,287,2572,0.212,87060
2025,Kerala,2699051,61124,0,9.39,234,2592,0.057,87060
2011,Ladakh,2401306,57359,0,4.14,308,1950,0.477,0
2012,Ladakh,2402618,120192,0,18.1,283,1522,0.65,0
2013,Ladakh,2381596,54429,9087,10.43,327,1167,0.534,9087
2014,Ladakh,2408283,119251,0,21.7,381,1449,0.236,9087
2015,Ladakh,2268361,138799,46652,17.66,298,954,0.143,55739
2016,Ladakh,2365261,142739,5580,11.4,262,1166,0.364,61319
2017,Ladakh,2429657,55606,0,18.29,395,565,0.03,61319
2018,Ladakh,2112207,130870,63210,21.81,262,1331,0.055,124529
2019,Ladakh,2473566,127847,48421,7.5,349,701,0.03,172950
2020,Ladakh,2352791,62433,3972,15.27,222,1340,0.039,176922
2021,Ladakh,2161127,99337,19644,22.8,252,524,0.159,196566
2022,Ladakh,2371757,102458,258,15.21,326,1290,0.251,196824
2023,Ladakh,2250972,115086,10304,13.81,324,1431,0.365,207128
2024,Ladakh,2387472,137298,0,13.11,201,934,0.033,207128
2025,Ladakh,1990687,130348,32035,13.5,250,856,0.056,239163
2011,Lakshadweep,193232,3974,148,7.08,362,1508,0.329,148
2012,Lakshadweep,192135,6334,992,17.34,337,634,0.737,1140
2013,Lakshadweep,196211,5528,0,3.4,339,701,0.518,1140
2014,Lakshadweep,199165,11432,0,21.09,281,864,0.292,1140
2015,Lakshadweep,189385,4219,693,1.06,228,1166,0.055,1833
2016,Lakshadweep,186149,8228,1677,8.11,300,1292,0.129,3510
2017,Lakshadweep,179296,12022,3069,17.42,192,639,0.195,6579
2018,Lakshadweep,194404,9985,0,13.97,194,966,0.354,6579
2019,Lakshadweep,187082,4504,3868,11.98,371,317,0.259,10447
2020,Lakshadweep,209797,12573,1694,18.01,293,1599,0.46,12141
2021,Lakshadweep,186546,8724,613,15.25,205,1364,0.392,12754
2022,Lakshadweep,187249,3836,390,17.33,337,1574,0.098,13144
2023,Lakshadweep,174740,12097,1712,12.27,253,1281,0.074,14856
2024,Lakshadweep,204467,9387,0,1.57,401,1262,0.528,14856
2025,Lakshadweep,182861,7555,571,6.61,295,1372,0.331,15427
2011,Madhya Pradesh,630743,34435,0,6.23,248,1514,0.74,0
2012,Madhya Pradesh,630041,25529,111,8.16,317,1166,0.474,111
2013,Madhya Pradesh,635865,15137,0,7.01,424,987,0.332,111
2014,Madhya Pradesh,642744,44711,0,17.83,326,1851,0.424,111
2015,Madhya Pradesh,635616,14862,0,15.78,293,868,0.301,111
2016,Madhya Pradesh,574314,28063,15073,28.0,357,1065,0.407,15184
2017,Madhya Pradesh,645667,19216,0,17.6,344,1453,0.599,15184
2018,Madhya Pradesh,635950,20636,0,13.89,355,875,0.489,15184
2019,Madhya Pradesh,600174,22646,3865,13.43,317,1371,0.241,19049
2020,Madhya Pradesh,678282,16285,0,13.9,322,1427,0.502,19049
2021,Madhya Pradesh,582052,27309,6497,16.43,312,974,0.304,25546
2022,Madhya Pradesh,584188,26423,2799,10.9,302,1261,0.39,28345
2023,Madhya Pradesh,530948,16239,6443,16.72,297,1358,0.31,34788
2024,Madhya Pradesh,676813,15296,16913,6.38,327,1447,0.243,51701
2025,Madhya Pradesh,551920,21703,5325,14.61,308,885,0.3,57026
2011,Maharashtra,540102,13331,0,21.75,341,1104,0.589,0
2012,Maharashtra,541572,25907,0,13.3,264,1428,0.53,0
2013,Maharashtra,543528,32541,0,10.47,318,1486,0.462,0
2014,Maharashtra,530199,16612,2961,7.19,260,1213,0.334,2961
2015,Maharashtra,529201,21479,2856,22.32,299,908,0.348,5817
2016,Maharashtra,561540,36306,0,11.24,327,23,0.543,5817
2017,Maharashtra,525379,29800,13534,11.97,320,1509,0.304,19351
2018,Maharashtra,531539,14087,555,9.75,314,1772,0.796,19906
2019,Maharashtra,498180,26797,5983,3.33,237,1041,0.546,25889
2020,Maharashtra,549807,26958,0,0.0,366,1166,0.331,25889
2021,Maharashtra,488429,15472,3760,8.32,209,1388,0.29,29649
2022,Maharashtra,531428,26094,356,4.67,166,1355,0.526,30005
2023,Maharashtra,487151,28128,3859,13.41,295,787,0.444,33864
2024,Maharashtra,609095,28617,4292,9.0,332,1143,0.583,38156
2025,Maharashtra,541636,21944,0,15.05,268,461,0.371,38156
2011,Manipur,1906781,107013,69441,12.77,286,2722,0.149,69441
2012,Manipur,1902202,65495,3375,8.42,432,2016,0.278,72816
2013,Manipur,1863245,119328,69364,15.35,274,2249,0.137,142180
2014,Manipur,1904634,68979,0,23.53,376,2625,0.167,142180
2015,Manipur,1820933,51414,20268,8.95,220,2528,0.175,162448
2016,Manipur,1966940,107447,0,17.68,350,2340,0.185,162448
2017,Manipur,1855859,83958,8935,15.4,266,1853,0.571,171383
2018,Manipur,1923063,111759,0,19.59,346,3106,0.375,171383
2019,Manipur,1620511,73119,42974,14.55,310,2423,0.328,214357
2020,Manipur,1624650,36925,34606,20.59,228,2340,0.182,248963
2021,Manipur,1469161,37228,56836,12.51,240,2182,0.167,305799
2022,Manipur,1797602,73446,11733,14.06,356,1941,0.324,317532
2023,Manipur,1886840,62802,0,16.4,306,2697,0.35,317532
2024,Manipur,1659782,75707,18996,15.34,298,2685,0.169,336528
2025,Manipur,1938849,50167,0,17.94,414,1987,0.578,336528
2011,Meghalaya,3163081,151321,64967,11.0,244,2546,0.401,64967
2012,Meghalaya,3128256,169160,44138,17.37,164,2260,0.373,109105
2013,Meghalaya,3117373,107087,25231,13.58,220,2723,0.193,134336
2014,Meghalaya,3166737,95149,0,8.96,367,2407,0.615,134336
2015,Meghalaya,3092729,202453,17552,9.88,303,2274,0.134,151888
2016,Meghalaya,3002763,62204,39059,17.85,256,2629,0.311,190947
2017,Meghalaya,2886945,154841,58595,19.12,385,2520,0.259,249542
2018,Meghalaya,3454529,136320,0,11.1,306,1869,0.276,249542
2019,Meghalaya,3559792,147456,0,15.32,299,2425,0.43,249542
2020,Meghalaya,2571533,154264,69596,18.88,350,2672,0.687,319138
2021,Meghalaya,2749815,64694,54237,15.16,297,2890,0.399,373375
2022,Meghalaya,3266504,86410,0,5.85,280,2354,0.231,373375
2023,Meghalaya,2773195,68361,25140,20.36,270,2156,0.401,398515
2024,Meghalaya,2711947,167609,26987,15.64,253,2094,0.239,425502
2025,Meghalaya,2974553,139336,15560,15.37,313,2587,0.188,441062
2011,Mizoram,5455676,207176,0,19.97,294,2577,0.199,0
2012,Mizoram,5448647,364607,1485,11.68,304,2974,0.236,1485
2013,Mizoram,5428375,369941,8776,22.58,288,2622,0.272,10261
2014,Mizoram,5288333,146067,78724,7.66,340,2542,0.55,88985
2015,Mizoram,5371798,184558,22091,7.51,339,2661,0.402,111076
2016,Mizoram,5415232,132295,3129,20.05,197,2010,0.286,114205
2017,Mizoram,4877075,179000,118487,12.02,194,2165,0.392,232692
2018,Mizoram,6035062,325148,0,12.17,279,2116,0.324,232692
2019,Mizoram,5163521,321225,35913,16.25,313,1970,0.237,268605
2020,Mizoram,5458042,265153,0,21.7,307,2036,0.294,268605
2021,Mizoram,5193028,303647,31518,13.07,247,2232,0.267,300123
2022,Mizoram,5128163,220602,32347,9.84,328,2470,0.137,332470
2023,Mizoram,5842929,273821,0,7.76,317,2484,0.119,332470
2024,Mizoram,4773778,295124,53245,8.47,291,2317,0.143,385715
2025,Mizoram,3651448,93701,112131,21.3,288,2633,0.104,497846
2011,Nagaland,4490754,268500,0,19.16,244,2428,0.187,0
2012,Nagaland,4454030,270487,42630,12.63,326,2402,0.494,42630
2013,Nagaland,4285870,218775,79238,19.05,255,2613,0.505,121868
2014,Nagaland,4441586,262503,65313,13.46,244,2100,0.04,187181
2015,Nagaland,4577934,164064,0,17.5,266,2378,0.112,187181
2016,Nagaland,4386288,153424,13974,17.26,316,2781,0.094,201155
2017,Nagaland,4317606,231311,31205,21.82,258,2411,0.165,232360
2018,Nagaland,4460599,222874,0,9.11,382,2340,0.189,232360
2019,Nagaland,4865220,181425,0,10.76,276,2673,0.119,232360
2020,Nagaland,3990331,116609,46247,13.58,255,1621,0.584,278607
2021,Nagaland,4485172,127281,0,9.88,316,2743,0.108,278607
2022,Nagaland,4220264,86623,27548,20.64,162,1783,0.215,306155
2023,Nagaland,4360066,122870,8580,8.77,323,2445,0.305,314735
2024,Nagaland,4078419,86050,37534,10.5,262,2633,0.214,352269
2025,Nagaland,4494146,120981,0,7.23,343,2553,0.25,352269
2011,Odisha,865082,18620,0,4.36,252,1066,0.482,0
2012,Odisha,850850,48822,15820,10.67,284,1529,0.389,15820
2013,Odisha,842612,23745,14620,1.43,352,1724,0.349,30440
2014,Odisha,869254,57344,0,24.89,277,1385,0.132,30440
2015,Odisha,860566,58825,298,19.49,354,1772,0.118,30738
2016,Odisha,887489,32015,0,11.46,300,1209,0.039,30738
2017,Odisha,855313,39288,717,11.28,250,1556,0.561,31455
2018,Odisha,933404,57784,0,16.7,247,2424,0.132,31455
2019,Odisha,949294,51643,0,17.78,318,739,0.245,31455
2020,Odisha,865143,19986,0,17.5,305,1418,0.258,31455
2021,Odisha,769735,16926,8328,3.46,290,1364,0.363,39783
2022,Odisha,907550,60211,0,3.72,278,541,0.344,39783
2023,Odisha,914266,37948,0,14.28,326,1159,0.235,39783
2024,Odisha,891233,55354,0,8.57,377,1290,0.484,39783
2025,Odisha,818097,36593,3692,16.81,286,1323,0.482,43475
2011,Puducherry,506534,34121,0,9.86,262,1114,0.196,0
